nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,nwp_winddirection,nwp_pressure,lmd_totalirrad,lmd_diffuseirrad,lmd_temperature,lmd_pressure,lmd_winddirection,lmd_windspeed,power,label
10.57,0.0,22.08,82.28,7.03,33.55,1008.92,335,256,26.700001,1008.299988,3,3.8,1.916016,0
9.73,0.0,21.92,83.72,6.92,36.6,1009.04,305,229,26.6,1008.200012,4,1.7,1.747266,0
10.99,0.0,21.67,85.93,6.79,36.07,1009.17,209,156,26.700001,1008.299988,9,2.1,1.297266,0
20.92,0.0,21.7,86.84,6.51,33.49,1009.22,166,121,26.6,1008.200012,1,2.2,0.928125,0
38.39,0.0,22.13,85.74,6.19,31.06,1009.23,138,105,26.0,1008.200012,31,2.5,0.84375,0
105.99,17.96,23.03,83.57,6.18,31.34,1009.25,236,183,25.799999,1008.099976,21,3.6,1.413281,0
88.35,51.45,23.75,80.77,6.58,32.66,1009.35,138,113,26.0,1008.099976,46,2.4,0.776953,0
178.92,1.87,24.78,76.86,7.11,34.94,1009.34,94,68,25.799999,1008.099976,17,1.2,0.629297,0
116.95,0.0,24.83,74.39,7.36,37.39,1009.22,194,138,25.799999,1008.0,12,3.0,1.184766,0
114.57,0.0,25.03,72.94,7.34,39.19,1008.99,316,248,26.0,1007.799988,50,2.4,1.933594,0
148.27,0.0,25.54,70.85,7.43,42.37,1008.76,238,198,26.5,1007.799988,67,2.5,1.395703,0
199.16,4.86,26.1,68.07,7.64,45.27,1008.57,159,123,26.200001,1008.0,21,2.8,0.959766,0
226.4,94.43,26.46,66.2,7.57,45.98,1008.4,318,242,26.5,1007.799988,29,1.4,1.873828,0
208.03,13.78,26.59,65.77,7.16,45.38,1008.26,269,210,26.9,1007.700012,351,2.5,1.567969,0
188.2,2.92,26.72,66.15,6.65,41.84,1008.14,287,223,27.0,1007.599976,8,2.6,1.7226560000000002,0
163.18,0.04,26.8,67.2,6.18,37.48,1008.05,356,273,27.700001,1007.700012,29,3.3,2.049609,0
172.71,0.54,27.1,67.69,5.88,35.88,1007.95,295,215,27.700001,1007.599976,35,2.7,1.613672,0
183.22,8.71,27.49,67.42,5.8,37.76,1007.87,383,253,27.700001,1007.400024,40,3.4,2.074219,0
187.42,44.64,27.81,66.61,5.91,41.78,1007.8,414,262,27.799999,1007.299988,327,1.7,2.555859,0
173.96,128.09,27.97,65.28,6.17,47.33,1007.75,566,170,28.1,1007.299988,357,2.3,3.375,0
186.38,164.8,28.19,63.69,6.49,51.22,1007.8,344,180,28.1,1007.099976,354,4.3,1.845703,0
202.43,183.9,28.32,63.02,6.62,51.12,1007.87,648,213,28.299999,1007.200012,356,2.2,3.308203,0
183.29,165.39,28.29,63.08,6.49,50.27,1007.83,212,127,27.9,1007.099976,356,2.6,0.907031,0
170.07,152.63,28.27,63.35,6.21,50.39,1007.73,146,100,27.1,1007.0,358,1.8,0.720703,0
149.64,132.98,28.24,63.94,5.83,50.29,1007.66,220,154,27.299999,1007.0,6,3.4,1.110937,0
135.72,119.63,28.24,64.75,5.41,48.73,1007.55,143,115,27.5,1007.0,17,1.9,0.762891,0
114.61,99.49,28.21,65.73,5.02,47.32,1007.46,88,63,27.4,1007.0,1,3.2,0.432422,0
100.62,86.21,28.17,66.75,4.7,46.39,1007.33,91,58,27.200001,1007.0,341,2.4,0.411328,0
79.7,66.52,28.02,67.98,4.39,46.43,1007.22,71,50,27.1,1007.0,16,1.1,0.319922,0
65.92,53.7,27.78,69.38,4.06,47.17,1007.11,73,55,27.0,1007.200012,352,1.6,0.344531,0
45.43,35.04,27.36,71.47,3.66,47.29,1007.02,54,38,27.1,1007.099976,24,1.2,0.228516,0
32.3,23.47,26.88,73.83,3.23,43.81,1006.99,30,25,27.0,1007.099976,1,1.4,0.105469,0
14.56,8.8,26.18,76.56,2.91,36.73,1007.03,21,14,26.799999,1007.200012,318,1.0,0.024609,0
5.0,2.1,25.66,78.05,2.82,27.67,1007.13,3,3,26.799999,1007.299988,332,0.5,0.0,0
0.0,0.0,25.13,80.01,2.84,20.44,1007.2,0,0,26.5,1007.5,341,1.0,0.0,0
0.0,0.0,24.69,81.98,2.83,16.08,1007.35,0,0,26.4,1007.5,334,0.8,0.0,0
0.0,0.0,24.3,83.83,2.79,13.07,1007.5,0,0,26.200001,1007.599976,355,0.7,0.0,0
0.0,0.0,23.95,85.5,2.74,11.25,1007.64,0,0,26.0,1007.799988,20,0.7,0.0,0
0.0,0.0,23.65,86.79,2.66,10.4,1007.8,0,0,26.0,1007.900024,339,0.8,0.0,0
0.0,0.0,23.4,87.83,2.58,9.75,1007.95,0,0,25.799999,1008.0,339,0.8,0.0,0
0.0,0.0,23.18,88.59,2.5,10.76,1008.07,0,0,25.200001,1008.299988,305,0.0,0.0,0
0.0,0.0,23.02,89.01,2.43,11.29,1008.22,0,0,24.1,1008.400024,247,0.6,0.0,0
0.0,0.0,22.87,89.25,2.39,9.37,1008.27,0,0,23.5,1008.400024,243,0.8,0.0,0
0.0,0.0,22.71,89.56,2.41,5.64,1008.29,0,0,23.299999,1008.400024,286,0.3,0.0,0
0.0,0.0,22.54,90.01,2.46,2.46,1008.26,0,0,22.9,1008.5,205,0.4,0.0,0
0.0,0.0,22.36,90.62,2.53,359.67,1008.25,0,0,22.700001,1008.5,188,0.4,0.0,0
0.0,0.0,22.18,91.29,2.59,356.68,1008.3,0,0,22.6,1008.5,255,0.3,0.0,0
0.0,0.0,22.01,91.95,2.65,353.51,1008.41,0,0,22.6,1008.400024,340,0.0,0.0,0
0.0,0.0,21.86,92.52,2.69,350.78,1008.47,0,0,22.5,1008.400024,243,0.1,0.0,0
0.0,0.0,21.75,92.94,2.72,348.97,1008.53,0,0,22.200001,1008.400024,205,0.3,0.0,0
0.0,0.0,21.64,93.26,2.73,348.29,1008.59,0,0,22.299999,1008.5,256,0.0,0.0,0
0.0,0.0,21.54,93.54,2.74,347.93,1008.67,0,0,22.0,1008.400024,194,0.0,0.0,0
0.0,0.0,21.42,93.87,2.73,348.02,1008.74,0,0,22.0,1008.400024,194,0.0,0.0,0
0.0,0.0,20.94,90.86,1.84,348.7,1008.58,0,0,22.200001,1008.299988,155,0.0,0.0,0
0.0,0.0,20.91,90.73,1.79,350.8,1008.54,0,0,22.4,1008.200012,146,0.3,0.0,0
0.0,0.0,20.91,90.52,1.75,344.97,1008.8,0,0,22.4,1008.099976,96,0.0,0.0,0
0.0,0.0,20.85,90.57,1.78,340.97,1008.6,0,0,22.4,1008.0,357,0.0,0.0,0
0.0,0.0,20.76,90.77,1.89,339.42,1008.26,0,0,22.299999,1007.900024,214,0.0,0.0,0
0.0,0.0,20.64,91.13,2.02,335.32,1007.74,0,0,22.4,1007.900024,141,0.0,0.0,0
0.0,0.0,20.58,91.22,2.1,333.43,1007.93,0,0,22.1,1007.700012,141,0.0,0.0,0
0.0,0.0,20.5,91.35,2.12,331.96,1007.82,0,0,22.1,1007.5,146,0.0,0.0,0
0.0,0.0,20.44,91.38,2.1,331.02,1007.76,0,0,22.1,1007.400024,309,0.0,0.0,0
0.0,0.0,20.37,91.4,2.06,330.88,1007.52,0,0,22.0,1007.400024,276,0.0,0.0,0
0.0,0.0,20.3,91.44,2.04,329.47,1007.36,0,0,21.799999,1007.400024,172,0.0,0.0,0
0.0,0.0,20.22,91.58,2.07,329.62,1007.25,0,0,22.0,1007.299988,179,0.0,0.0,0
0.0,0.0,20.1,91.86,2.13,328.2,1007.14,0,0,21.9,1007.200012,132,0.0,0.0,0
0.0,0.0,19.95,92.26,2.21,326.11,1006.89,0,0,22.200001,1007.099976,143,0.0,0.0,0
0.0,0.0,19.83,92.48,2.27,322.97,1006.83,0,0,22.299999,1007.0,104,0.6,0.0,0
0.0,0.0,19.75,92.46,2.29,319.16,1007.15,0,0,22.200001,1006.900024,37,0.0,0.0,0
0.0,0.0,19.71,92.2,2.27,316.99,1007.58,0,0,21.799999,1006.900024,127,0.0,0.0,0
0.0,0.0,19.63,92.13,2.2,319.05,1007.41,0,0,21.799999,1006.900024,30,0.0,0.0,0
0.0,0.0,19.62,91.72,2.07,325.66,1007.36,0,0,21.799999,1007.0,332,0.0,0.0,0
0.0,0.0,19.61,91.42,1.9,331.27,1007.43,0,0,21.9,1007.0,352,0.0,0.0,0
0.0,0.0,19.59,91.31,1.77,338.04,1007.59,0,0,21.6,1006.900024,163,0.0,0.0,0
0.0,0.0,19.55,91.43,1.67,344.62,1007.68,0,0,22.200001,1006.900024,132,0.5,0.0,0
0.0,0.0,19.5,91.65,1.61,352.12,1007.79,0,0,22.299999,1007.0,107,0.6,0.0,0
0.9,0.06,19.42,92.13,1.59,359.79,1007.62,5,4,22.299999,1007.200012,114,0.2,0.0,0
13.72,6.85,19.42,93.11,1.63,7.81,1007.55,23,16,22.299999,1007.299988,262,0.0,0.0,0
42.49,29.08,19.71,93.13,1.64,13.49,1007.4,28,19,22.1,1007.299988,211,0.3,0.098438,0
64.47,47.97,20.02,93.18,1.55,15.93,1007.51,35,25,22.1,1007.200012,211,0.0,0.154687,0
100.11,79.92,20.59,92.8,1.43,12.88,1007.56,49,34,22.200001,1007.200012,200,0.0,0.26718800000000004,0
125.78,103.43,21.37,91.84,1.59,9.55,1007.71,111,54,22.9,1007.299988,234,0.0,0.682031,0
165.18,140.13,22.05,88.88,1.97,18.99,1007.7,151,61,23.9,1007.400024,203,0.0,0.928125,0
191.02,164.51,22.59,88.39,2.12,14.02,1007.72,195,69,24.1,1007.400024,191,0.4,1.198828,0
227.24,199.14,23.25,87.43,2.12,14.57,1007.68,255,82,24.6,1007.299988,202,0.6,1.525781,0
247.68,219.02,23.98,84.24,2.23,25.57,1007.67,358,121,25.4,1007.200012,248,1.1,2.063672,0
276.65,247.33,24.49,82.33,2.27,32.26,1007.76,380,164,25.5,1007.200012,245,1.1,1.965234,0
289.88,260.69,25.0,81.93,2.22,31.89,1007.82,412,178,26.299999,1007.400024,245,0.7,2.021484,0
310.06,280.91,25.61,78.05,2.3,39.81,1007.82,429,162,26.200001,1007.5,198,0.7,2.08125,0
317.1,288.47,26.0,75.19,2.45,47.46,1007.76,610,147,26.5,1007.299988,207,0.5,3.223828,0
331.75,303.39,26.4,71.64,2.57,49.33,1007.64,628,130,27.0,1007.299988,306,0.0,2.833594,0
337.03,309.13,26.7,67.99,2.65,53.39,1007.44,681,150,28.4,1007.400024,78,1.0,3.596484,0
350.17,322.4,26.94,67.0,2.66,53.97,1007.29,308,134,27.799999,1007.299988,92,0.1,1.567969,0
356.81,329.22,27.18,65.51,2.67,54.74,1007.14,677,127,27.5,1007.099976,183,0.0,2.819531,0
370.54,342.83,27.45,62.13,2.77,52.81,1007.05,759,132,28.200001,1007.099976,59,0.4,3.916406,0
378.7,350.91,27.65,60.26,2.88,51.24,1007.06,772,116,28.5,1007.0,139,1.2,3.849609,0
392.06,364.0,27.84,59.05,2.97,51.43,1007.06,792,109,28.5,1006.900024,260,0.3,3.860156,0
400.28,372.03,28.01,58.11,3.08,52.74,1006.95,811,110,28.5,1006.700012,150,1.1,3.846094,0
410.2,381.76,28.18,57.29,3.16,53.53,1006.85,815,111,28.799999,1006.599976,267,0.5,3.88125,0
412.91,384.55,28.34,56.61,3.24,53.98,1006.77,835,111,29.0,1006.400024,122,1.3,3.888281,0
414.16,386.01,28.51,56.09,3.31,53.86,1006.75,853,110,29.6,1006.200012,98,2.4,3.916406,0
411.21,383.39,28.67,55.79,3.38,52.69,1006.68,889,106,29.200001,1006.0,88,1.4,3.860156,0
409.36,381.77,28.82,55.73,3.43,50.75,1006.65,889,111,29.4,1006.0,103,2.1,3.673828,0
409.12,381.57,28.96,55.92,3.46,48.78,1006.51,876,113,30.200001,1005.799988,150,1.4,3.649219,0
412.65,384.79,29.08,56.23,3.49,46.31,1006.3,876,117,29.9,1005.599976,63,1.1,3.7125,0
422.56,393.92,29.19,56.6,3.55,44.42,1006.03,829,124,30.1,1005.400024,88,2.4,3.6,0
437.49,407.58,29.32,56.88,3.66,43.71,1005.91,868,122,30.6,1005.299988,85,2.3,3.744141,0
461.45,429.64,29.45,56.77,3.82,43.98,1005.77,849,115,30.4,1005.0,58,2.9,3.652734,0
486.67,452.59,29.56,55.97,4.01,46.05,1005.65,841,105,30.9,1005.0,329,2.9,3.723047,0
517.34,480.65,29.64,55.96,4.13,46.01,1005.49,819,99,30.799999,1004.799988,347,0.8,3.751172,0
539.92,500.74,29.69,56.12,4.19,45.84,1005.4,791,95,30.799999,1004.5,346,1.7,3.740625,0
563.86,522.21,29.75,56.32,4.22,46.21,1005.27,770,96,30.799999,1004.5,53,1.8,3.628125,0
570.81,527.31,29.78,56.56,4.25,47.27,1005.15,739,97,30.9,1004.400024,93,2.1,3.5296870000000005,0
575.55,530.64,29.81,56.8,4.26,48.57,1005.02,712,94,31.1,1004.200012,59,2.1,3.420703,0
555.53,510.4,29.82,57.05,4.27,49.07,1004.93,686,87,31.1,1003.900024,50,2.7,3.3433589999999995,0
535.29,490.45,29.84,57.22,4.26,50.3,1004.95,638,84,31.0,1003.799988,16,1.4,3.185156,0
494.13,450.56,29.83,57.48,4.24,51.38,1004.93,598,83,31.0,1003.700012,71,3.2,2.95664,0
464.28,421.72,29.82,57.7,4.21,52.53,1004.98,570,81,31.1,1003.5,45,3.0,2.745703,0
421.13,379.93,29.76,58.0,4.18,53.45,1004.86,525,75,31.0,1003.5,31,1.8,2.467969,0
395.16,354.57,29.71,58.41,4.13,53.01,1004.67,491,74,31.0,1003.400024,31,1.8,2.239453,0
354.12,314.6,29.61,59.0,4.06,52.55,1004.51,436,69,30.9,1003.400024,45,2.0,1.944141,0
327.78,288.83,29.51,59.66,3.97,51.5,1004.43,381,62,30.799999,1003.400024,56,2.7,1.634766,0
281.1,243.91,29.36,60.61,3.83,49.81,1004.27,324,56,30.799999,1003.299988,83,3.1,1.374609,0
248.51,212.78,29.2,61.92,3.59,48.2,1004.13,269,51,30.6,1003.299988,91,2.2,1.103906,0
196.25,163.62,28.96,64.66,3.12,45.43,1003.96,209,43,30.6,1003.200012,55,2.4,0.815625,0
161.33,131.19,28.68,69.08,2.55,41.19,1003.86,153,39,30.4,1003.299988,69,2.2,0.5625,0
110.12,84.62,28.32,72.61,2.16,37.22,1003.79,101,33,30.1,1003.200012,93,1.7,0.348047,0
77.7,56.08,27.93,74.96,2.15,30.76,1003.71,60,24,30.0,1003.200012,65,1.7,0.179297,0
33.79,20.02,27.44,75.49,2.38,24.8,1003.67,25,13,29.6,1003.299988,101,1.1,0.007031,0
10.44,4.07,26.94,76.89,2.6,20.04,1003.66,7,4,29.200001,1003.400024,116,0.9,0.0,0
0.0,0.0,26.41,78.72,2.7,17.65,1003.6,0,0,29.1,1003.5,77,1.5,0.0,0
0.0,0.0,25.95,80.56,2.72,18.97,1003.63,0,0,28.9,1003.599976,65,1.3,0.0,0
0.0,0.0,25.57,81.98,2.64,21.96,1003.69,0,0,28.700001,1003.799988,91,0.0,0.0,0
0.0,0.0,25.28,82.99,2.49,24.66,1003.81,0,0,28.700001,1004.0,95,0.8,0.0,0
0.0,0.0,25.06,83.57,2.32,25.77,1003.95,0,0,28.4,1004.099976,121,0.1,0.0,0
0.0,0.0,24.88,83.98,2.18,25.43,1004.06,0,0,27.6,1004.299988,122,0.8,0.0,0
0.0,0.0,24.7,84.38,2.11,26.37,1004.21,0,0,27.5,1004.400024,125,0.1,0.0,0
0.0,0.0,24.52,84.81,2.12,26.49,1004.3,0,0,27.5,1004.599976,138,0.6,0.0,0
0.0,0.0,24.34,85.26,2.16,25.81,1004.37,0,0,27.299999,1004.599976,148,0.6,0.0,0
0.0,0.0,24.16,85.71,2.19,25.13,1004.41,0,0,27.1,1004.5,129,0.1,0.0,0
0.0,0.0,23.99,86.05,2.15,25.83,1004.52,0,0,26.9,1004.5,160,0.0,0.0,0
0.0,0.0,23.82,86.44,2.02,32.21,1004.66,0,0,26.700001,1004.5,129,0.0,0.0,0
0.0,0.0,23.62,87.05,1.88,46.05,1004.9,0,0,26.4,1004.5,127,0.0,0.0,0
0.0,0.0,23.4,87.65,1.8,55.33,1005.12,0,0,26.4,1004.299988,21,0.0,0.0,0
0.0,0.0,23.21,87.91,1.76,57.77,1005.34,0,0,26.299999,1004.099976,121,0.0,0.0,0
0.0,0.0,23.04,87.86,1.71,57.08,1005.43,0,0,26.0,1004.099976,340,0.0,0.0,0
0.0,0.0,22.93,87.56,1.66,55.36,1005.54,0,0,24.799999,1004.099976,152,0.0,0.0,0
0.0,0.0,22.89,86.92,1.61,54.93,1005.63,0,0,24.700001,1004.200012,300,0.5,0.0,0
0.0,0.0,22.85,86.13,1.59,49.4,1005.71,0,0,24.299999,1004.299988,239,0.0,0.0,0
0.0,0.0,21.73,86.54,1.29,10.46,1005.77,0,0,24.0,1004.200012,159,0.0,0.0,0
0.0,0.0,21.59,87.09,1.32,11.05,1005.58,0,0,24.200001,1004.200012,203,0.0,0.0,0
0.0,0.0,21.51,87.38,1.38,14.04,1006.09,0,0,24.299999,1004.099976,318,0.0,0.0,0
0.0,0.0,21.39,87.74,1.42,18.11,1005.74,0,0,23.9,1004.0,287,0.0,0.0,0
0.0,0.0,21.3,87.93,1.45,19.99,1005.46,0,0,24.0,1003.799988,267,0.0,0.0,0
0.0,0.0,21.2,88.06,1.51,21.55,1005.21,0,0,23.6,1003.900024,186,0.0,0.0,0
0.0,0.0,21.15,88.0,1.56,23.37,1005.14,0,0,23.799999,1003.700012,280,0.2,0.0,0
0.0,0.0,21.11,87.82,1.58,23.24,1005.46,0,0,23.4,1003.700012,340,0.0,0.0,0
0.0,0.0,21.04,87.75,1.59,23.93,1005.27,0,0,23.4,1003.700012,253,0.0,0.0,0
0.0,0.0,20.99,87.61,1.59,26.84,1005.21,0,0,23.6,1003.5,129,0.0,0.0,0
0.0,0.0,20.91,87.53,1.66,28.85,1004.98,0,0,23.700001,1003.599976,28,0.3,0.0,0
0.0,0.0,20.83,87.47,1.8,28.25,1004.96,0,0,24.200001,1003.5,38,0.6,0.0,0
0.0,0.0,20.75,87.43,1.95,24.11,1005.04,0,0,24.1,1003.700012,162,0.0,0.0,0
0.0,0.0,20.63,87.6,2.08,19.28,1004.96,0,0,24.200001,1003.5,104,0.0,0.0,0
0.0,0.0,20.51,87.85,2.16,12.75,1004.78,0,0,23.9,1003.599976,141,0.4,0.0,0
0.0,0.0,20.44,88.21,2.21,6.86,1005.02,0,0,23.9,1003.5,303,0.3,0.0,0
0.0,0.0,20.4,88.4,2.23,1.83,1005.29,0,0,23.4,1003.5,326,0.6,0.0,0
0.0,0.0,20.3,88.96,2.23,358.98,1005.27,0,0,23.200001,1003.5,225,0.0,0.0,0
0.0,0.0,20.25,89.37,2.19,0.1,1005.26,0,0,22.799999,1003.5,225,0.0,0.0,0
0.0,0.0,20.11,90.06,2.13,4.05,1005.27,0,0,22.9,1003.400024,321,0.4,0.0,0
0.0,0.0,20.06,90.53,2.04,9.13,1005.31,0,0,23.0,1003.400024,2,0.4,0.0,0
0.0,0.0,20.15,90.28,1.93,15.05,1005.31,0,0,23.4,1003.599976,327,0.2,0.0,0
0.0,0.0,20.18,90.16,1.88,18.28,1005.23,0,0,23.299999,1003.5,14,1.2,0.0,0
0.07,0.0,20.2,90.07,1.85,20.86,1005.14,1,1,23.4,1003.5,342,0.9,0.0,0
2.84,0.17,20.28,89.95,1.81,22.94,1005.03,9,7,23.4,1003.599976,359,0.9,0.0,0
9.06,2.64,20.43,89.62,1.73,26.76,1004.97,37,30,23.700001,1003.700012,1,0.4,0.193359,0
14.87,9.67,20.55,89.55,1.57,32.06,1005.05,69,52,24.299999,1003.900024,16,0.9,0.355078,0
29.38,21.95,20.83,88.84,1.38,32.8,1005.1,78,56,25.0,1003.900024,40,0.7,0.404297,0
34.28,26.42,21.14,88.7,1.27,28.94,1005.18,117,81,24.9,1003.900024,44,1.5,0.720703,0
63.83,52.95,21.83,86.62,1.47,27.57,1005.24,135,109,25.4,1004.0,31,1.2,0.801562,0
69.1,57.82,22.4,82.07,1.84,33.79,1005.31,164,103,25.5,1003.900024,348,0.7,0.741797,0
77.87,65.1,22.79,80.84,2.04,30.07,1005.35,136,94,25.5,1004.0,54,1.9,0.720703,0
106.21,91.85,23.31,79.91,2.17,28.45,1005.45,213,120,25.4,1004.200012,50,1.9,1.075781,0
112.96,98.19,23.84,76.12,2.48,30.51,1005.56,171,129,25.4,1004.200012,45,1.7,0.95625,0
120.98,105.57,24.16,72.0,2.87,31.13,1005.6,220,168,25.5,1004.200012,21,1.9,1.241016,0
117.88,100.08,24.38,72.29,3.13,26.03,1005.62,209,157,25.9,1004.0,35,1.1,1.191797,0
110.51,94.39,24.59,72.5,3.3,24.55,1005.6,205,160,25.9,1004.0,35,3.1,1.174219,0
119.57,102.89,24.88,71.6,3.48,27.16,1005.54,231,179,26.0,1004.099976,20,2.4,1.35,0
119.12,101.54,25.13,67.97,3.64,33.07,1005.47,195,139,26.299999,1004.299988,8,3.9,1.040625,0
122.25,103.27,25.19,67.6,3.66,37.01,1005.36,282,215,26.200001,1004.200012,33,1.9,1.63125,0
82.2,55.19,25.08,68.22,3.56,40.55,1005.21,312,237,26.4,1004.299988,43,4.0,1.775391,0
71.09,41.45,25.1,68.73,3.46,42.98,1005.12,385,285,26.4,1004.299988,43,3.3,2.200781,0
123.78,50.77,25.45,67.96,3.46,44.58,1005.08,485,301,26.6,1004.299988,64,1.6,2.917969,0
168.5,40.51,25.91,66.13,3.59,45.73,1005.18,681,341,26.799999,1004.200012,33,3.5,4.376953,0
173.64,45.67,26.19,65.31,3.73,47.21,1005.13,613,351,27.5,1004.0,52,5.6,3.491015,0
137.41,52.44,26.29,64.78,3.86,48.37,1005.09,420,312,27.5,1003.900024,29,4.6,2.337891,0
174.73,100.22,26.57,63.74,3.98,49.09,1005.04,368,278,27.5,1003.900024,56,3.3,2.060156,0
130.59,86.78,26.6,63.05,4.12,49.21,1005.12,320,249,27.6,1003.799988,49,3.2,1.835156,0
167.85,127.56,26.91,61.43,4.3,48.71,1005.11,283,220,27.4,1003.700012,89,3.3,1.6523439999999998,0
165.48,122.91,26.99,60.43,4.49,48.58,1005.12,257,212,27.4,1003.599976,76,1.8,1.508203,0
135.72,86.04,27.01,59.74,4.63,48.97,1005.06,194,154,27.299999,1003.5,79,2.5,1.160156,0
110.76,62.71,26.96,59.78,4.74,49.06,1004.92,192,149,27.4,1003.5,67,2.9,1.149609,0
173.56,105.41,27.25,59.19,4.9,49.09,1004.73,176,139,27.4,1003.200012,59,2.3,1.061719,0
172.44,105.1,27.37,59.13,5.06,49.26,1004.71,120,93,27.299999,1003.099976,61,2.4,0.706641,0
